signal_date,ticker,score,ref_price,rank,tp,sl
2026-05-20,2303,3.83,108.0,3,137.3,86.0
2026-05-20,3481,3.82,37.0,4,45.9,30.2
2026-05-20,6415,3.77,507.0,5,649.1,400.4
2026-05-20,2395,3.55,465.0,6,549.4,401.7
2026-05-20,3036,3.55,279.0,7,334.2,237.6
2026-05-21,2327,4.0,572.0,1,693.4,480.9
2026-05-21,2454,3.87,3550.0,2,4584.0,2774.5
2026-05-21,3481,3.87,40.6,3,50.1,33.5
2026-05-21,2303,3.8,116.0,4,146.5,93.1
2026-05-21,6415,3.78,557.0,5,703.5,447.1
2026-05-21,3443,3.68,5065.0,6,6656.0,3871.8
2026-05-21,3036,3.52,291.5,7,348.1,249.1
2026-05-22,2327,4.0,629.0,1,755.7,534.0
2026-05-22,3481,3.9,44.7,2,54.6,37.2
2026-05-22,2454,3.88,3860.0,3,4927.0,3059.8
2026-05-22,2303,3.78,114.0,4,144.2,91.3
2026-05-22,6415,3.52,562.0,5,704.4,455.2
2026-05-22,2408,3.48,310.5,6,401.9,241.9
2026-05-22,6285,3.47,296.0,7,369.6,240.8
2026-05-25,2327,4.0,691.0,1,827.9,588.3
2026-05-25,3481,3.9,49.1,2,59.6,41.2
2026-05-25,2454,3.88,4245.0,3,5345.0,3420.0
2026-05-25,2303,3.78,125.0,4,156.6,101.3
2026-05-25,3149,3.55,65.0,5,79.8,53.9
2026-05-25,6239,3.53,311.0,6,377.4,261.2
2026-05-25,6415,3.47,618.0,7,767.5,505.9
2026-05-29,2327,4.0,738.0,1,909.8,609.1
2026-05-29,3481,3.88,51.0,2,65.5,40.1
2026-05-29,6116,3.87,17.1,3,20.8,14.3
2026-05-29,2303,3.83,144.5,4,181.1,117.0
2026-05-29,6239,3.72,379.0,5,458.3,319.5
2026-05-29,2344,3.6,158.0,6,201.1,125.7
2026-05-29,2454,3.6,4310.0,7,5552.0,3378.5
2026-06-02,2327,4.0,846.0,1,1040.9,699.8
2026-06-02,6116,3.93,20.6,2,24.9,17.4
2026-06-02,3481,3.87,56.2,3,72.0,44.3
2026-06-02,2344,3.77,184.5,4,231.2,149.4
2026-06-02,2356,3.7,80.6,5,97.0,68.3
2026-06-02,2303,3.68,141.5,6,182.5,110.8
2026-06-02,2408,3.58,419.5,7,526.3,339.4
2026-06-03,6116,4.0,22.7,1,27.3,19.2
2026-06-03,2327,3.93,820.0,2,1016.0,673.0
2026-06-03,3481,3.87,59.4,3,75.7,47.2
2026-06-03,3149,3.8,90.8,4,109.9,76.4
2026-06-03,2356,3.72,85.4,5,102.9,72.3
2026-06-03,2344,3.65,177.5,6,225.5,141.5
2026-06-03,2324,3.53,47.0,7,55.8,40.5
2026-06-04,6116,4.0,20.5,1,25.4,16.8
2026-06-04,2327,3.93,743.0,2,947.6,589.5
2026-06-04,3481,3.85,55.8,3,72.5,43.3
2026-06-04,3149,3.82,91.0,4,110.7,76.2
2026-06-04,2344,3.72,179.5,5,228.0,143.1
2026-06-04,2356,3.65,77.8,6,96.5,63.8
2026-06-04,6239,3.57,354.0,7,439.6,289.8
2026-06-05,6116,3.98,18.5,1,23.6,14.6
2026-06-05,2327,3.95,769.0,2,989.1,603.9
2026-06-05,3149,3.87,90.8,3,111.3,75.4
2026-06-05,3481,3.8,53.7,4,70.9,40.8
2026-06-05,2356,3.7,76.8,5,96.2,62.2
2026-06-05,6239,3.6,338.0,6,427.2,271.1
2026-06-05,2344,3.57,162.0,7,211.7,124.7
2026-06-08,2327,4.0,751.0,1,980.6,578.8
2026-06-08,3149,3.93,86.8,2,108.5,70.6
2026-06-08,6116,3.87,16.6,3,22.0,12.6
2026-06-08,3481,3.78,48.3,4,66.1,35.1
2026-06-08,2356,3.7,69.2,5,89.9,53.7
2026-06-08,6239,3.58,309.0,6,403.1,238.4
2026-06-08,6446,3.55,926.0,7,1105.6,791.3
2026-06-09,2327,4.0,826.0,1,1062.7,648.5
2026-06-09,3149,3.92,87.2,2,108.6,71.1
2026-06-09,6116,3.83,15.6,3,21.0,11.5
2026-06-09,2356,3.73,70.6,4,91.4,55.0
2026-06-09,3481,3.65,49.1,5,67.0,35.7
2026-06-09,6446,3.65,990.0,6,1177.0,849.8
2026-06-09,6239,3.6,321.0,7,416.8,249.2
2026-06-10,2327,4.0,819.0,1,1072.0,629.2
2026-06-10,2881,3.78,122.5,2,139.6,109.7
2026-06-10,6239,3.77,303.0,3,402.9,228.1
2026-06-10,2883,3.72,28.2,4,32.6,24.9
2026-06-10,2882,3.7,99.9,5,113.4,89.8
2026-06-10,6446,3.67,986.0,6,1166.8,850.4
2026-06-10,2356,3.52,66.2,7,87.1,50.5
2026-06-11,2327,4.0,842.0,1,1106.6,643.5
2026-06-11,6239,3.88,333.0,2,437.3,254.8
2026-06-11,3481,3.87,47.0,3,65.4,33.1
2026-06-11,2881,3.75,125.5,4,143.3,112.1
2026-06-11,2882,3.62,100.5,5,114.4,90.1
2026-06-11,2353,3.58,36.9,6,45.6,30.4
2026-06-11,2883,3.55,27.8,7,32.1,24.5
2026-06-12,2327,4.0,855.0,1,1125.4,652.2
2026-06-12,6239,3.87,347.5,2,455.5,266.5
2026-06-12,3481,3.85,48.5,3,67.1,34.7
2026-06-12,2344,3.83,172.0,4,226.1,131.4
2026-06-12,2404,3.62,1310.0,5,1625.6,1073.3
2026-06-12,2454,3.58,4180.0,6,5565.0,3141.2
2026-06-12,2353,3.57,36.7,7,45.6,30.0
2026-06-22,6669,4.0,4855.0,1,5916.8,4058.7
2026-06-22,2344,3.9,222.0,2,280.3,178.3
2026-06-22,2327,3.83,1065.0,3,1368.9,837.1
2026-06-22,1303,3.8,152.5,4,187.1,126.6
2026-06-22,6116,3.72,20.0,5,26.3,15.2
2026-06-22,2408,3.68,505.0,6,628.6,412.3
2026-06-22,3481,3.62,66.0,7,86.0,51.0
2026-06-23,6669,4.0,4675.0,1,5766.1,3856.7
2026-06-23,1303,3.87,154.5,2,191.0,127.1
2026-06-23,2344,3.83,211.5,3,270.3,167.4
2026-06-23,2327,3.78,1020.0,4,1324.6,791.6
2026-06-23,2408,3.73,454.5,5,583.7,357.6
2026-06-23,2379,3.62,863.0,6,1061.6,714.0
2026-06-23,6116,3.6,19.0,7,25.6,14.1
2026-06-24,1303,3.93,154.5,1,191.0,127.1
2026-06-24,2344,3.9,211.5,2,270.3,167.4
2026-06-24,2327,3.85,1020.0,3,1324.6,791.6
2026-06-24,2408,3.8,454.5,4,583.7,357.6
2026-06-24,2379,3.68,863.0,5,1061.6,714.0
2026-06-24,6116,3.67,19.0,6,25.6,14.1
2026-06-24,2881,3.5,137.5,7,160.3,120.4
2026-06-25,2327,3.95,1125.0,1,1445.6,884.6
2026-06-25,1303,3.93,155.0,2,195.0,125.0
2026-06-25,3481,3.83,70.9,3,91.0,55.8
2026-06-25,2408,3.8,477.0,4,608.8,378.1
2026-06-25,2344,3.75,219.5,5,279.7,174.3
2026-06-25,6446,3.53,1195.0,6,1418.0,1027.8
2026-06-25,2883,3.53,30.5,7,35.9,26.5
2026-06-26,1303,3.93,148.0,1,188.5,117.6
2026-06-26,2344,3.92,206.5,2,268.2,160.2
2026-06-26,3481,3.88,65.0,3,85.3,49.8
2026-06-26,2327,3.75,1015.0,4,1344.1,768.2
2026-06-26,2408,3.72,449.0,5,585.2,346.9
2026-06-26,2887,3.63,31.9,6,37.0,28.1
2026-06-26,2883,3.55,29.9,7,35.3,25.9
2026-06-29,2327,3.95,1040.0,1,1376.5,787.6
2026-06-29,1303,3.93,151.5,2,192.3,120.9
2026-06-29,6446,3.82,1270.0,3,1506.8,1092.4
2026-06-29,2887,3.75,33.0,4,38.3,29.0
2026-06-29,3481,3.73,67.0,5,87.6,51.6
2026-06-29,2379,3.67,783.0,6,1013.2,610.4
2026-06-29,2883,3.5,29.6,7,35.1,25.5
2026-06-30,1303,3.97,166.5,1,208.3,135.2
