event_id,signal_date,source_sector,destination_sector,ticker,reference_peak,drawdown_date,lead_trading_days,hit_20pct,last_session_before_drawdown,source_sector_label,destination_sector_label
25,2017-11-21,computing,finance,6573,76.87275695800781,2017-12-04,9.0,True,2017-12-01,資訊/通訊,金融
26,2018-01-11,electronics,finance,3406,266.6950378417969,2018-02-06,18.0,True,2018-02-05,電子零組件,金融
26,2018-01-11,electronics,finance,3008,3325.589599609375,2018-02-06,18.0,True,2018-02-05,電子零組件,金融
26,2018-01-11,electronics,finance,3374,81.82437133789062,2018-02-06,18.0,True,2018-02-05,電子零組件,金融
26,2018-01-11,electronics,finance,3443,257.1668395996094,,,False,,電子零組件,金融
26,2018-01-11,electronics,finance,3019,82.67516326904297,,,False,,電子零組件,金融
26,2018-01-11,electronics,finance,3081,373.27490234375,2018-02-06,18.0,True,2018-02-05,電子零組件,金融
26,2018-01-11,electronics,finance,3673,75.17404174804688,2018-02-09,21.0,True,2018-02-08,電子零組件,金融
26,2018-01-11,electronics,finance,3026,75.53733825683594,2018-02-06,18.0,True,2018-02-05,電子零組件,金融
26,2018-01-11,electronics,finance,3661,93.37699127197266,,,False,,電子零組件,金融
26,2018-01-11,electronics,finance,3481,10.095888137817383,,,False,,電子零組件,金融
26,2018-01-11,electronics,finance,3645,73.85232543945312,2018-02-06,18.0,True,2018-02-05,電子零組件,金融
26,2018-01-11,electronics,finance,3045,78.47955322265625,,,False,,電子零組件,金融
26,2018-01-11,electronics,finance,3552,140.8623504638672,2018-02-06,18.0,True,2018-02-05,電子零組件,金融
26,2018-01-11,electronics,finance,3413,152.47120666503906,2018-04-26,65.0,True,2018-04-25,電子零組件,金融
26,2018-01-11,electronics,finance,3665,223.9616241455078,2018-02-09,21.0,True,2018-02-08,電子零組件,金融
26,2018-01-11,electronics,finance,3035,53.453086853027344,,,False,,電子零組件,金融
26,2018-01-11,electronics,finance,3532,180.83876037597656,,,False,,電子零組件,金融
26,2018-01-11,electronics,finance,3450,101.33321380615234,2018-04-26,65.0,True,2018-04-25,電子零組件,金融
26,2018-01-11,electronics,finance,3059,31.136789321899414,2018-02-08,20.0,True,2018-02-07,電子零組件,金融
26,2018-01-11,electronics,finance,3017,27.058467864990234,2018-02-09,21.0,True,2018-02-08,電子零組件,金融
26,2018-01-11,electronics,finance,3533,171.93438720703125,,,False,,電子零組件,金融
26,2018-01-11,electronics,finance,3508,57.0,2018-02-02,16.0,True,2018-02-01,電子零組件,金融
26,2018-01-11,electronics,finance,3037,14.928092002868652,,,False,,電子零組件,金融
26,2018-01-11,electronics,finance,3437,37.64752960205078,2018-02-08,20.0,True,2018-02-07,電子零組件,金融
26,2018-01-11,electronics,finance,3563,197.77635192871094,,,False,,電子零組件,金融
26,2018-01-11,electronics,finance,3006,32.90446090698242,,,False,,電子零組件,金融
26,2018-01-11,electronics,finance,3317,27.464595794677734,2018-04-26,65.0,True,2018-04-25,電子零組件,金融
26,2018-01-11,electronics,finance,3016,31.6900691986084,,,False,,電子零組件,金融
26,2018-01-11,electronics,finance,3362,45.848690032958984,2018-01-16,3.0,True,2018-01-15,電子零組件,金融
26,2018-01-11,electronics,finance,3691,231.74388122558594,2018-02-06,18.0,True,2018-02-05,電子零組件,金融
27,2018-01-19,biotech,finance,4721,89.83023834228516,2018-07-19,117.0,True,2018-07-18,生技醫療,金融
27,2018-01-19,biotech,finance,4739,93.8713607788086,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,1710,26.5126953125,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,1707,152.7023468017578,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,1718,8.968287467956543,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,1785,20.589202880859375,2018-02-12,16.0,True,2018-02-09,生技醫療,金融
27,2018-01-19,biotech,finance,1722,28.36966896057129,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,1723,95.5374526977539,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,1714,8.33411693572998,2018-02-12,16.0,True,2018-02-09,生技醫療,金融
27,2018-01-19,biotech,finance,1789,31.923009872436523,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,4746,58.645503997802734,2018-02-01,9.0,True,2018-01-31,生技醫療,金融
27,2018-01-19,biotech,finance,1795,47.453346252441406,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,4714,12.705459594726562,2018-02-06,12.0,True,2018-02-05,生技醫療,金融
27,2018-01-19,biotech,finance,1720,25.63191032409668,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,4736,60.84363555908203,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,4729,28.71154022216797,2018-02-06,12.0,True,2018-02-05,生技醫療,金融
27,2018-01-19,biotech,finance,4735,30.358369827270508,2018-05-15,71.0,True,2018-05-14,生技醫療,金融
27,2018-01-19,biotech,finance,4764,54.05447769165039,2018-04-24,57.0,True,2018-04-23,生技醫療,金融
27,2018-01-19,biotech,finance,1708,17.492080688476562,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,1711,16.92820167541504,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,1702,43.38002395629883,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,4722,23.01470375061035,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,4763,7.830461025238037,2018-02-07,13.0,True,2018-02-06,生技醫療,金融
27,2018-01-19,biotech,finance,1712,9.858616828918457,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,1760,63.17685317993164,2018-01-24,3.0,True,2018-01-23,生技醫療,金融
27,2018-01-19,biotech,finance,1773,33.41136932373047,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,4755,41.84260177612305,2018-02-06,12.0,True,2018-02-05,生技醫療,金融
27,2018-01-19,biotech,finance,1717,22.576675415039062,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,1762,23.373905181884766,,,False,,生技醫療,金融
27,2018-01-19,biotech,finance,1735,15.275032997131348,2018-02-01,9.0,True,2018-01-31,生技醫療,金融
28,2018-03-30,electronics,biotech,3008,3124.740966796875,2018-04-02,1.0,True,2018-03-30,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3443,305.9626159667969,2018-04-18,10.0,True,2018-04-17,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3406,251.5836639404297,,,False,,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3019,85.35444641113281,2018-05-14,27.0,True,2018-05-11,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3374,64.44573974609375,2018-04-24,14.0,True,2018-04-23,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3026,76.98998260498047,,,False,,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3661,137.04586791992188,2018-04-09,3.0,True,2018-04-03,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3673,63.37197494506836,2018-08-20,96.0,True,2018-08-17,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3035,64.72834014892578,2018-04-25,15.0,True,2018-04-24,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3481,10.701643943786621,,,False,,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3532,220.76414489746094,2018-04-26,16.0,True,2018-04-25,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3037,16.804529190063477,2018-06-28,59.0,True,2018-06-27,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3413,165.8860626220703,2018-04-23,13.0,True,2018-04-20,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3645,66.93370056152344,2018-04-25,15.0,True,2018-04-24,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3045,77.41901397705078,,,False,,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3081,337.16558837890625,2018-04-26,16.0,True,2018-04-25,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3563,237.9264678955078,,,False,,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3533,168.78684997558594,,,False,,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3034,79.93524169921875,,,False,,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3665,227.04541015625,2018-04-02,1.0,True,2018-03-30,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3324,68.03600311279297,2018-04-24,14.0,True,2018-04-23,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3059,26.247543334960938,,,False,,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3006,36.31095504760742,2018-04-24,14.0,True,2018-04-23,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3552,117.9771499633789,2018-04-24,14.0,True,2018-04-23,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3317,26.433916091918945,2018-05-03,20.0,True,2018-05-02,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3624,29.18653678894043,2018-04-26,16.0,True,2018-04-25,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3515,64.58757781982422,2018-04-18,10.0,True,2018-04-17,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3508,49.95000076293945,2018-09-20,119.0,True,2018-09-19,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3016,33.48046112060547,,,False,,電子零組件,生技醫療
28,2018-03-30,electronics,biotech,3504,62.274635314941406,,,False,,電子零組件,生技醫療
29,2018-04-27,computing,finance,6488,384.16827392578125,2018-08-13,74.0,True,2018-08-10,資訊/通訊,金融
29,2018-04-27,computing,finance,6456,143.61056518554688,2018-09-10,94.0,True,2018-09-07,資訊/通訊,金融
