event_id,signal_date,source_sector,destination_sector,confirmation_days,source_score,destination_score,score_spread,source_score_change_5d,destination_score_change_5d,source_return_5d,destination_return_5d,source_return_20d,destination_return_20d,source_turnover_acceleration,destination_turnover_acceleration,source_breadth_above_20d,destination_breadth_above_20d,source_institutional_flow,destination_institutional_flow,average_correlation_20d,source_sector_label,destination_sector_label
120,2022-12-08,shipping,biotech,3,0.23285714285714282,0.9171428571428573,0.6842857142857144,-0.6671428571428573,0.11857142857142877,-0.026666641235351562,-0.005814136727497421,0.02880649869830587,0.09876543023795703,-0.08188243724208621,0.026144153885852006,0.5652173913043478,0.8372093023255814,,,0.6664216426839192,航運,生技醫療
121,2022-12-13,semiconductor,biotech,3,0.33999999999999997,0.8428571428571429,0.5028571428571429,-0.16857142857142848,-0.05714285714285705,-0.019678043971892434,-0.009697319776726165,0.014686164098869803,0.07237186152363262,-0.18454318265565928,0.010594048658369437,0.504950495049505,0.6666666666666666,,,0.7715544061140562,半導體,生技醫療
122,2023-01-09,biotech,finance,3,0.36000000000000004,0.9571428571428571,0.597142857142857,-0.48428571428571415,0.14,0.0003538900549741597,0.032835919189067475,-0.012228921300933948,0.015822844580615447,-0.4304699830185251,0.0012950502739534908,0.38095238095238093,0.88,0.024561913445767743,0.2333610083471971,0.7443095700458837,生技醫療,金融
123,2023-01-10,shipping,finance,3,0.3428571428571428,1.0,0.6571428571428573,-0.39571428571428585,0.2885714285714286,-0.006315743888017589,0.035143807380571435,0.00647239629912022,0.017073185656656165,-0.4836626658976304,0.08118827425858655,0.30434782608695654,0.88,-0.006768143701227064,0.2298547168002301,0.2600095708743136,航運,金融
124,2023-03-23,shipping,electronics,3,0.2514285714285714,0.9571428571428571,0.7057142857142857,-0.6157142857142857,0.26142857142857134,0.007299260868110169,0.04795741975786516,0.02564101830047405,0.03734929243909235,-0.5360740917912192,-0.10798033992389144,0.17391304347826086,0.7593984962406015,0.018809888908863218,0.06004791298144918,0.6067911351431127,航運,電子零組件
125,2023-04-25,electronics,biotech,3,0.39285714285714285,0.8785714285714284,0.4857142857142856,-0.1771428571428571,-0.0614285714285715,-0.07017537294671872,-0.0306121336237124,-0.024802730981614896,0.03564365421657123,0.04526036442984127,0.22861310366949872,0.25547445255474455,0.4634146341463415,-0.023354755205363585,-0.027053358571389755,0.8143166418891196,電子零組件,生技醫療
126,2023-05-05,shipping,biotech,3,0.3057142857142857,0.952857142857143,0.6471428571428572,-0.18285714285714277,0.024285714285714355,-0.006564597085659041,0.022535205125225444,-0.01637280165658317,0.05325439036768298,-0.1548231063413119,-0.10087163721311143,0.3333333333333333,0.7073170731707317,-0.011667101994480854,0.0338442658875092,0.6800041623961919,航運,生技醫療
127,2023-05-10,computing,finance,3,0.35428571428571426,0.9685714285714285,0.6142857142857143,-0.29571428571428576,0.2857142857142857,-0.011591145993172569,0.015290375005374002,-0.033003427007753716,0.019921017011270137,-0.3054855301990641,0.0005843323316295224,0.3399014778325123,0.7727272727272727,-0.024379881122564142,0.1352056943453363,0.8177697756179597,資訊/通訊,金融
128,2023-05-30,biotech,semiconductor,3,0.2,1.0,0.8,-0.06285714285714283,0.34857142857142864,-0.01754378417561364,0.019033350920745207,-0.04270469719088055,0.03736412177263737,-0.3201773655565807,0.25094235008916144,0.32558139534883723,0.803921568627451,-0.01810845369592937,0.009175402992243016,0.7905019207055709,生技醫療,半導體
129,2023-06-19,finance,semiconductor,3,0.24428571428571427,0.8642857142857143,0.6200000000000001,-0.3271428571428571,0.12428571428571433,-0.0033670245081098837,0.011345250824195796,-0.0035460929435150446,0.06727834167459346,-0.030796857084742335,0.06661567160274084,0.6086956521739131,0.693069306930693,,,0.4602594278209407,金融,半導體
130,2023-06-27,shipping,traditional,3,0.2757142857142857,0.8,0.5242857142857144,-0.5157142857142858,0.14142857142857157,-0.025076856262396918,-0.014893496044411814,-0.0024803176724151887,0.0328467650441453,-0.1841734866265537,-0.12652557997396796,0.4,0.47911547911547914,,,0.35906086741535675,航運,傳產/其他
131,2023-07-20,traditional,finance,3,0.34285714285714286,0.9257142857142857,0.5828571428571429,-0.1414285714285714,0.12142857142857155,0.009208077772925538,0.024038486877026255,-0.011943466887682885,0.01837986261129032,-0.07772822369652976,0.17745548137311606,0.41849148418491483,0.875,-0.0071985203890555976,0.13433602365786498,0.7803149995763882,傳產/其他,金融
132,2023-08-08,computing,finance,3,0.30428571428571427,0.8714285714285713,0.5671428571428571,-0.14285714285714285,-0.07857142857142874,-0.029126232778776906,-0.007251910240260284,-0.023885444257464417,0.038358322282649016,-0.25594486927121574,0.003431460819079246,0.29533678756476683,0.5416666666666666,-0.0414715928071525,-0.1092977209305139,0.7565786392693937,資訊/通訊,金融
133,2023-08-10,biotech,finance,3,0.39999999999999997,0.9171428571428573,0.5171428571428573,-0.20857142857142857,0.01000000000000012,-0.03286379721426802,0.002874601308040625,-0.011982717013045985,0.02617504762598577,-0.33817434697402504,-0.14792479809328712,0.17073170731707318,0.6666666666666666,,,0.7118811997270645,生技醫療,金融
134,2023-09-20,semiconductor,shipping,3,0.26285714285714284,1.0,0.7371428571428571,-0.14,0.5214285714285714,-0.010170614685872548,0.04460368218124944,0.015604638201060395,0.053557910602004544,-0.11810344810459356,1.037423167791812,0.4230769230769231,0.7,-0.03381474223644487,-0.003734771347335105,0.705191139928454,半導體,航運
135,2023-10-04,shipping,electronics,3,0.38142857142857145,0.8099999999999999,0.4285714285714285,-0.3214285714285715,0.07285714285714284,-0.018184320639546225,0.0036618709600052535,0.001680716475889632,-0.012506096634203212,-0.3456720448917058,-0.23808460136137338,0.25,0.44285714285714284,-0.0432656957883775,-0.013496818496853696,0.5044926141103928,航運,電子零組件
136,2023-10-13,traditional,finance,3,0.2757142857142857,0.8728571428571429,0.5971428571428572,-0.31999999999999995,0.42714285714285716,0.002100905392971031,0.030617974240819024,-0.00500001907348635,0.0,-0.04105748597974446,0.09211285345990916,0.3857493857493858,0.7692307692307693,-0.015355215340559978,0.09157536565952368,0.806745174248355,傳產/其他,金融
137,2023-11-07,biotech,finance,3,0.37,0.7957142857142857,0.4257142857142857,-0.4257142857142857,0.042857142857142816,0.02526025675136223,0.02955668637776032,-0.010724525526371542,0.01129950581181749,-0.3207209035247828,-0.16066857234497334,0.7272727272727273,0.8888888888888888,0.07036729500474277,0.16532296378000486,0.7247002493768792,生技醫療,金融
138,2023-11-24,shipping,electronics,3,0.2542857142857143,0.9214285714285714,0.667142857142857,-0.5128571428571427,0.30428571428571427,-0.0021368379543227345,0.02297727719549314,0.046403743723637536,0.06850072559109288,0.02825617420893667,0.17815376089229273,0.7368421052631579,0.8695652173913043,0.015015762200368725,0.02551777134684908,0.7117534175885255,航運,電子零組件
139,2023-12-08,semiconductor,shipping,3,0.38714285714285707,0.9428571428571428,0.5557142857142858,-0.06714285714285717,0.17571428571428582,-0.007331441286369089,0.027027111837921725,0.07006376133050174,0.08922551383947486,-0.14102156396436571,0.7167665312672018,0.7428571428571429,1.0,-0.0241443698315149,-0.015616054647954888,0.6546772672891811,半導體,航運
140,2024-01-02,biotech,finance,3,0.17857142857142855,0.8642857142857143,0.6857142857142857,-0.09714285714285714,0.4085714285714286,0.005835015432925417,0.01412869142676798,-0.03165670661563891,0.010865242171081535,-0.3612306162736465,-0.14774632258319642,0.425,0.7407407407407407,,,0.6121137659973055,生技醫療,金融
141,2024-01-08,semiconductor,shipping,3,0.1957142857142857,1.0,0.8042857142857143,-0.49571428571428566,0.6328571428571429,-0.028708103765701654,0.030710269853215566,-0.013123381254916633,0.006896623392327772,-0.28005731147756396,0.15169942361465982,0.34285714285714286,0.6666666666666666,-0.03866591124338374,-0.003967211407815886,0.670567306886181,半導體,航運
